,ver_claim_ids,named_entities
6142,vclaim-pol-06142,"[['California', 5407, 'Q99']]"
6143,vclaim-pol-06143,[]
6144,vclaim-pol-06144,"[['2009', 'not available', 'not available'], ['homelessness', 19394651, 'Q131327']]"
6145,vclaim-pol-06145,"[['Gov.', 'not available', 'not available'], ['Walker, Wisconsin', 36030482, 'Q7962192'], ['$1 billion', 'not available', 'not available'], ['$2.2 billion', 'not available', 'not available']]"
6146,vclaim-pol-06146,"[['National Technical Information Service', 218371, 'Q6978856']]"
6147,vclaim-pol-06147,"[['baby formula', 65330, 'Q2287198'], ['expiration date', 600368, 'Q1689021']]"
6148,vclaim-pol-06148,[]
6149,vclaim-pol-06149,"[['David Jolly', 41148509, 'Q15963996'], ['greenhouse', 86996, 'Q165044'], ['D.C.', 108956, 'Q61']]"
6150,vclaim-pol-06150,"[['Wisconsin', 33127, 'Q1537'], ['median household income', 2021534, 'Q1940707'], ['2.7%', 'not available', 'not available'], ['1.3%', 'not available', 'not available'], ['President Obama', 534366, 'Q76']]"
6151,vclaim-pol-06151,"[['Maryland', 18858, 'Q1391'], ['Virginia', 32432, 'Q1370']]"
6152,vclaim-pol-06152,"[[""Clinton's State Department"", 31975, 'Q789915'], ['wasn', 18468646, 'Q7946755']]"
6153,vclaim-pol-06153,"[['Texas National Guard', 8174681, 'Q7707515'], ['Texas-Mexico border', 2817606, 'Q1057263'], ['74 percent', 'not available', 'not available']]"
6154,vclaim-pol-06154,"[['Yemen', 350939, 'Q805'], ['drone', 1453179, 'Q650316'], ['Yemen', 350939, 'Q805']]"
6155,vclaim-pol-06155,"[['Donald Trump', 4848272, 'Q22686'], ['Canadian-style', 811741, 'Q3535133'], ['universal health care', 570661, 'Q3274205']]"
6156,vclaim-pol-06156,"[['President', 24110, 'Q30461'], ['Barack Obama', 534366, 'Q76'], ['Iranian president', 233913, 'Q838380'], ['Hassan Rouhani', 38481813, 'Q348144']]"
6157,vclaim-pol-06157,"[['Obama', 534366, 'Q76'], ['Clean Power Plan', 47423035, 'Q21028610'], ['coal-fired power plants', 1560443, 'Q1434958']]"
6158,vclaim-pol-06158,"[['Texas Capitol', 503403, 'Q2078042'], ['Goliad', 135933, 'Q982494'], ['Texas Revolution', 38711, 'Q638530']]"
6159,vclaim-pol-06159,"[['Iran deal', 42015113, 'Q17001802'], ['Iran', 14653, 'Q794'], ['nuclear program', 721807, 'Q329891'], ['Israel', 9282173, 'Q801'], ['Egypt', 8087628, 'Q79'], ['Saudis', 402558, 'Q31711']]"
6160,vclaim-pol-06160,[]
6161,vclaim-pol-06161,"[['Guantanamo detainees', 4406774, 'Q357'], ['Bowe Bergdahl', 23664552, 'Q2896654']]"
6162,vclaim-pol-06162,"[['federal deficit', 322221, 'Q1138777'], ['40', 'not available', 'not available'], ['maple syrup', 19886, 'Q402563'], ['United States', 3434750, 'Q30']]"
6163,vclaim-pol-06163,"[['President', 'not available', 'not available'], ['Barack Obama', 534366, 'Q76'], ['Iran’s nuclear program', 721807, 'Q329891']]"
6164,vclaim-pol-06164,"[['population of Greece', 4379785, 'Q953888'], ['state of Florida', 18933066, 'Q812']]"
6165,vclaim-pol-06165,"[['Al Franken', 251879, 'Q319084'], ['Trump', 4848272, 'Q22686'], ['John McCain', 43715, 'Q10390']]"
6166,vclaim-pol-06166,"[['abortion', 765, 'Q8452'], ['ultrasound', 31780, 'Q162564']]"
6167,vclaim-pol-06167,"[['Atlanta', 3138, 'Q23556']]"
6168,vclaim-pol-06168,"[['million dollars', 24800720, 'Q17157412']]"
6169,vclaim-pol-06169,"[['Clinton administration', 361745, 'Q2824550'], ['Marines', 'not available', 'not available']]"
6170,vclaim-pol-06170,"[['John McCain', 43715, 'Q10390']]"
6171,vclaim-pol-06171,"[['Pluto', 44469, 'Q339'], ['planet', 22915, 'Q634'], ['International Astronomical Union', 14878, 'Q6867'], ['planet', 22915, 'Q634'], ['sun', 26751, 'Q525'], ['Pluto', 44469, 'Q339']]"
6172,vclaim-pol-06172,"[['Bill', 377411, 'Q686822'], ['Hillary Clinton', 5043192, 'Q6294'], ['Donald Trump', 4848272, 'Q22686']]"
6173,vclaim-pol-06173,"[['Scott Walker', 1339436, 'Q553254']]"
6174,vclaim-pol-06174,"[['ISIS', 9087364, 'Q2429253'], ['tweeted', 9988187, 'Q918'], ['10:34', 'not available', 'not available'], ['a.m', 241267, 'Q209499'], ['10:45 a.m.', 'not available', 'not available'], ['Chattanooga', 102797, 'Q186702'], ['Tenn.', 'not available', 'not available']]"
6175,vclaim-pol-06175,"[['Georgia', 48830, 'Q1428'], ['700', 'not available', 'not available'], ['law enforcement', 23627, 'Q35535'], ['20 percent', 'not available', 'not available'], ['state-certified', 11868818, 'Q7707597']]"
6176,vclaim-pol-06176,"[['Syria', 7515849, 'Q858'], ['refugee', 45547, 'Q131572']]"
6177,vclaim-pol-06177,"[['Texas', 29810, 'Q1439'], ['27th', 'not available', 'not available'], ['2002', 'not available', 'not available'], ['2013', 'not available', 'not available']]"
6178,vclaim-pol-06178,"[['interior of the country', 1888051, 'Q2257629'], ['President Obama', 534366, 'Q76']]"
6179,vclaim-pol-06179,[]
6180,vclaim-pol-06180,[]
6181,vclaim-pol-06181,"[['commercial vehicles', 6018523, 'Q580939'], ['18', 'not available', 'not available'], ['90 plus percent', 'not available', 'not available']]"
6182,vclaim-pol-06182,"[['Iran', 14653, 'Q794'], ['$150 billion', 'not available', 'not available'], ['$300 billion', 'not available', 'not available'], ['$400 billion', 'not available', 'not available'], ['$8 trillion', 'not available', 'not available'], ['United States treasury', 53667, 'Q648666']]"
6183,vclaim-pol-06183,"[['Texas', 29810, 'Q1439']]"
6184,vclaim-pol-06184,"[['Obama', 'not available', 'not available'], ['nuclear weapons', 21785, 'Q12802']]"
6185,vclaim-pol-06185,"[['California governor', 62517, 'Q887010'], ['mercury', 18617142, 'Q925'], ['aluminum', 904, 'Q663'], ['vaccines', 32653, 'Q134808']]"
6186,vclaim-pol-06186,"[['Christian', 'not available', 'not available'], ['Pastor', 215153, 'Q152002'], ['Vermont', 32578, 'Q16551']]"
6187,vclaim-pol-06187,"[['Muslims', 'not available', 'not available'], ['Islamic Sharia', 28840, 'Q482752'], ['United States', 3434750, 'Q30'], ['Irving, Texas', 135752, 'Q51690']]"
6188,vclaim-pol-06188,"[['Carlos Lopez-Cantera', 21707349, 'Q5042281'], ['Arizona-style', 27088438, 'Q1938591'], ['immigration law', 3595708, 'Q231147'], ['Florida', 18933066, 'Q812'], ['common sense', 21478754, 'Q332880']]"
6189,vclaim-pol-06189,"[['Scott Walker', 1339436, 'Q553254'], ['Republican', 32070, 'Q29468']]"
6190,vclaim-pol-06190,"[['134,000', 'not available', 'not available'], ['Obama', 'not available', 'not available']]"
6191,vclaim-pol-06191,"[['Obama administration’s', 20082093, 'Q1379733'], ['Iran’s nuclear program', 721807, 'Q329891'], ['24', 'not available', 'not available'], ['365', 'not available', 'not available']]"
6192,vclaim-pol-06192,[]
6193,vclaim-pol-06193,"[['Sen.', 'not available', 'not available'], ['Rubio', 'not available', 'not available'], ['$3 million', 'not available', 'not available'], ['$240,000', 'not available', 'not available'], ['family', 56276, 'Q35409']]"
6194,vclaim-pol-06194,"[['local press', 14177199, 'Q7987866']]"
6195,vclaim-pol-06195,"[['Says Florida', 'not available', 'not available'], ['sanctuary cities', 10511069, 'Q3559093'], ['Jeb Bush', 189322, 'Q221997']]"
6196,vclaim-pol-06196,"[['Donald Trump', 4848272, 'Q22686'], ['15,000', 'not available', 'not available'], ['Phoenix', 49121, 'Q16556'], ['Trump', 4848272, 'Q22686']]"
6197,vclaim-pol-06197,[]
6198,vclaim-pol-06198,"[['Wisconsin', 33127, 'Q1537']]"
6199,vclaim-pol-06199,"[['Limberbutt McCubbins', 3603453, 'Q2740853'], ['five-year-old', 128987, 'Q7569'], ['2016', 'not available', 'not available']]"
6200,vclaim-pol-06200,"[['$5 billion', 'not available', 'not available'], ['Obamacare', 25226624, 'Q1414593']]"
6201,vclaim-pol-06201,"[['don’t', 43037173, 'Q17646620']]"
6202,vclaim-pol-06202,"[['Congress', 'not available', 'not available'], ['floor of the House', 1334301, 'Q2266479'], ['House', 'not available', 'not available']]"
6203,vclaim-pol-06203,[]
6204,vclaim-pol-06204,"[['Cobb County', 96802, 'Q484247'], ['$250 million', 'not available', 'not available'], ['Braves', 2140, 'Q461595']]"
6205,vclaim-pol-06205,"[['Chris Christie', 5847204, 'Q63879'], ['equal pay for women', 1108449, 'Q11414572'], ['3', 'not available', 'not available']]"
6206,vclaim-pol-06206,"[['African-Americans', 2154, 'Q49085'], ['17', 'not available', 'not available'], ['20', 'not available', 'not available'], ['unemployment rate', 31741, 'Q41171'], ['51 percent', 'not available', 'not available']]"
6207,vclaim-pol-06207,"[['President Obama', 534366, 'Q76'], ['1917', 'not available', 'not available']]"
6208,vclaim-pol-06208,"[['United States', 3434750, 'Q30'], ['income inequality', 370432, 'Q5055020'], ['developed countries', 78255, 'Q132453']]"
6209,vclaim-pol-06209,"[['United States', 3434750, 'Q30']]"
6210,vclaim-pol-06210,[]
6211,vclaim-pol-06211,"[['25 percent', 'not available', 'not available']]"
6212,vclaim-pol-06212,[]
6213,vclaim-pol-06213,[]
6214,vclaim-pol-06214,"[['Bernie Sanders', 361176, 'Q359442'], ['Brady Bill', 214325, 'Q4955187'], ['background checks', 2738211, 'Q6973556']]"
6215,vclaim-pol-06215,"[['$7.70', 'not available', 'not available'], ['$10', 'not available', 'not available']]"
6216,vclaim-pol-06216,"[['Donald Trump', 4848272, 'Q22686'], ['Democratic candidates', 3244616, 'Q5255733'], ['Republican candidates', 37643999, 'Q17092708']]"
6217,vclaim-pol-06217,"[['36 percent', 'not available', 'not available']]"
6218,vclaim-pol-06218,"[['Jay-Z', 162870, 'Q62766'], ['Beyonce', 83688, 'Q36153'], ['Confederate Flag', 189155, 'Q913583']]"
6219,vclaim-pol-06219,"[['Mexican', 3966054, 'Q96']]"
6220,vclaim-pol-06220,"[['Christie', 'not available', 'not available']]"
6221,vclaim-pol-06221,[]
6222,vclaim-pol-06222,"[['Jasper County', 'not available', 'not available'], ['Texas', 29810, 'Q1439'], ['7 percent', 'not available', 'not available'], ['death penalty', 5902, 'Q8454']]"
6223,vclaim-pol-06223,"[['Earth', 9228, 'Q2']]"
6224,vclaim-pol-06224,"[['Jeb Bush', 189322, 'Q221997'], ['path to citizenship', 25151566, 'Q15133865']]"
6225,vclaim-pol-06225,"[['Florida', 18933066, 'Q812'], ['10', 'not available', 'not available'], ['Democrats', 'not available', 'not available'], ['300,000', 'not available', 'not available'], ['Republicans', 32070, 'Q29468'], ['200,000', 'not available', 'not available']]"
6226,vclaim-pol-06226,[]
6227,vclaim-pol-06227,"[['President Obama', 534366, 'Q76'], ['November', 'not available', 'not available']]"
6228,vclaim-pol-06228,[]
6229,vclaim-pol-06229,[]
6230,vclaim-pol-06230,"[['Hillary Clinton', 5043192, 'Q6294'], ['10', 'not available', 'not available'], ['Bernie Sanders', 361176, 'Q359442'], ['10', 'not available', 'not available'], ['labor unions', 2474406, 'Q6467234']]"
6231,vclaim-pol-06231,"[['Florida', 18933066, 'Q812'], ['carbon emissions', 21350772, 'Q167336'], ['20 percent', 'not available', 'not available'], ['2005', 35984, 'Q2019']]"
6232,vclaim-pol-06232,"[['100,000', 'not available', 'not available'], ['2.4 million', 'not available', 'not available']]"
6233,vclaim-pol-06233,"[['illegal immigrants', 7124412, 'Q856681']]"
6234,vclaim-pol-06234,"[['Greece', 12108, 'Q41'], ['metropolitan Miami', 995921, 'Q2915506']]"
6235,vclaim-pol-06235,[]
6236,vclaim-pol-06236,"[['Gov.', 'not available', 'not available'], ['Scott Walker', 1339436, 'Q553254'], ['Republicans', 32070, 'Q29468'], ['Wisconsin', 33127, 'Q1537']]"
6237,vclaim-pol-06237,"[['average age', 989011, 'Q329823'], ['sex trade', 20603860, 'Q837322'], ['11', 'not available', 'not available'], ['14', 'not available', 'not available']]"
6238,vclaim-pol-06238,"[['Six thousand', 'not available', 'not available'], ['expanded Medicaid', 378922, 'Q16951214']]"
6239,vclaim-pol-06239,"[['Chris Christie', 5847204, 'Q63879'], ['New Jersey', 21648, 'Q1408'], ['9', 'not available', 'not available']]"
6240,vclaim-pol-06240,"[['1 percent', 'not available', 'not available'], ['voucher programs', 9750, 'Q173810']]"
6241,vclaim-pol-06241,"[['House of Representatives', 'not available', 'not available'], ['300', 'not available', 'not available'], ['131', 'not available', 'not available'], ['country-of-origin labeling', 11933276, 'Q5177520'], ['chicken', 5741239, 'Q864693'], ['pork', 20609697, 'Q191768'], ['beef', 36968, 'Q192628'], ['U.S.', 3434750, 'Q30']]"
6242,vclaim-pol-06242,[]
6243,vclaim-pol-06243,"[['Supreme Court’s', 395852, 'Q213380'], ['public opinion', 216170, 'Q17946'], ['same-sex marriage nationwide', 249620, 'Q17447']]"
6244,vclaim-pol-06244,"[['33', 'not available', 'not available']]"
6245,vclaim-pol-06245,"[['Texas', 29810, 'Q1439']]"
6246,vclaim-pol-06246,"[['U.S. Sen', 24909346, 'Q66096'], ['Ron Johnson', 'not available', 'not available'], ['$', 'not available', 'not available'], ['Medicare', 58353, 'Q559392']]"
6247,vclaim-pol-06247,"[['Georgia', 48830, 'Q1428'], ['hate crimes law', 6833714, 'Q5681217']]"
6248,vclaim-pol-06248,[]
6249,vclaim-pol-06249,"[['Jeb Bush', 189322, 'Q221997'], ['in-state tuition', 249320, 'Q538104'], ['48.2 percent', 'not available', 'not available']]"
6250,vclaim-pol-06250,"[['business owners', 39206, 'Q4830453'], ['wages and salaries', 22271791, 'Q7959524'], ['health insurance', 490201, 'Q334911'], ['17', 'not available', 'not available']]"
6251,vclaim-pol-06251,"[['United States', 3434750, 'Q30'], ['developed countries', 78255, 'Q132453'], ['Russia', 25391, 'Q159'], ['Brazil', 3383, 'Q155'], ['3', 'not available', 'not available'], ['5', 'not available', 'not available'], ['United States', 3434750, 'Q30']]"
6252,vclaim-pol-06252,"[['Income disparities', 370432, 'Q5055020'], ['United States', 3434750, 'Q30'], ['1920s', 'not available', 'not available']]"
6253,vclaim-pol-06253,"[['Earth', 9228, 'Q2']]"
6254,vclaim-pol-06254,[]
6255,vclaim-pol-06255,"[['Hillary Clinton', 5043192, 'Q6294'], ['Americans', 'not available', 'not available']]"
6256,vclaim-pol-06256,"[['Public support', 917917, 'Q1161355'], ['abortion', 765, 'Q8452']]"
6257,vclaim-pol-06257,"[['A Texas law', 'not available', 'not available'], ['$1 billion', 'not available', 'not available'], ['gold bullion', 2697304, 'Q791975'], ['Federal Reserve', 10819, 'Q53536'], ['New York', 8210131, 'Q1384'], ['Texas', 29810, 'Q1439']]"
6258,vclaim-pol-06258,"[['Lincoln', 'not available', 'not available'], ['making plans', 19990537, 'Q6739638'], ['Central America', 6121, 'Q27611'], ['Civil War', 863, 'Q8676']]"
6259,vclaim-pol-06259,"[['Wisconsin', 33127, 'Q1537'], ['Republicans', 32070, 'Q29468'], ['January 2011', 'not available', 'not available']]"
6260,vclaim-pol-06260,"[['Texas', 29810, 'Q1439'], ['form of identification', 39527321, 'Q205647'], ['student ID', 48418561, 'Q22907831']]"
6261,vclaim-pol-06261,"[['Jeb Bush', 189322, 'Q221997'], ['fetus', 20130936, 'Q26513'], ['rape survivor', 5672733, 'Q5347294']]"
6262,vclaim-pol-06262,[]
6263,vclaim-pol-06263,"[['The Civil War', 380123, 'Q672443'], ['wasn', 18468646, 'Q7946755']]"
6264,vclaim-pol-06264,[]
6265,vclaim-pol-06265,"[['200,000', 'not available', 'not available'], ['300,000', 'not available', 'not available'], ['hate crimes', 13547, 'Q459409']]"
6266,vclaim-pol-06266,"[['ISIS', 9087364, 'Q2429253'], ['100 million', 'not available', 'not available'], ['social media', 5897742, 'Q202833']]"
6267,vclaim-pol-06267,"[['Affordable Care Act', 25226624, 'Q1414593'], ['Medicare', 58353, 'Q559392'], ['Medicare', 58353, 'Q559392']]"
6268,vclaim-pol-06268,"[['Barack Obama', 534366, 'Q76'], ['U.S. Coast Guard Academy', 435901, 'Q650935'], ['world today', 20770345, 'Q7776059'], ['global warming', 5042951, 'Q7942']]"
6269,vclaim-pol-06269,"[['Maggie Hassan', 13396981, 'Q24053'], ['$1 billion', 'not available', 'not available']]"
6270,vclaim-pol-06270,"[['South Carolina', 27956, 'Q1456'], ['Gov. Nikki Haley', 8709554, 'Q11668']]"
6271,vclaim-pol-06271,"[['Common Core', 27684253, 'Q5153317']]"
6272,vclaim-pol-06272,"[['Jeb', 'not available', 'not available'], ['Bush', 'not available', 'not available'], ['terms in office', 10826158, 'Q524572'], ['Florida', 18933066, 'Q812'], ['graduation rate', 167316, 'Q1054021']]"
6273,vclaim-pol-06273,"[['1980 and 2010', 'not available', 'not available'], ['water usage', 18962147, 'Q26534'], ['Georgia', 48830, 'Q1428'], ['population grew', 940606, 'Q386191']]"
6274,vclaim-pol-06274,"[['White House', 33057, 'Q35525'], ['middle class', 251534, 'Q241588']]"
6275,vclaim-pol-06275,[]
6276,vclaim-pol-06276,"[['Hillary Clinton', 5043192, 'Q6294'], ['Whitewater', 174376, 'Q1074621']]"
6277,vclaim-pol-06277,"[['46 percent', 'not available', 'not available'], ['16', 'not available', 'not available'], ['24', 'not available', 'not available'], ['Japan', 15573, 'Q17']]"
6278,vclaim-pol-06278,"[['unemployment rate', 31741, 'Q41171'], ['unemployment rate', 31741, 'Q41171'], ['Wisconsin', 33127, 'Q1537'], ['unemployment', 31741, 'Q41171']]"
6279,vclaim-pol-06279,"[['senator', 44417, 'Q2570643'], ['Hillary Clinton', 5043192, 'Q6294']]"
6280,vclaim-pol-06280,"[['Atlanta', 3138, 'Q23556'], ['Georgia', 48830, 'Q1428'], ['AR-15', 94860, 'Q28028426'], ['automatic weapon', 768511, 'Q5778278'], ['100', 'not available', 'not available']]"
6281,vclaim-pol-06281,"[['Japan', 15573, 'Q17'], ['France', 5843419, 'Q142'], ['Israel', 9282173, 'Q801']]"
6282,vclaim-pol-06282,[]
6283,vclaim-pol-06283,"[['30', 'not available', 'not available']]"
6284,vclaim-pol-06284,"[['2010 and 2014', 'not available', 'not available'], ['in-migration', 221773, 'Q177626'], ['Mexico', 3966054, 'Q96']]"
6285,vclaim-pol-06285,"[['mass violence', 146704, 'Q124757'], ['advanced countries', 78255, 'Q132453']]"
6286,vclaim-pol-06286,"[['Democrats', 'not available', 'not available']]"
6287,vclaim-pol-06287,[]
6288,vclaim-pol-06288,"[['Confederate battle flag', 189155, 'Q913583'], ['South Carolina', 27956, 'Q1456'], ['public view', 318901, 'Q557141']]"
6289,vclaim-pol-06289,"[['Confederate battle flag', 189155, 'Q913583'], ['South Carolina statehouse', 3611925, 'Q2915276'], ['30', 'not available', 'not available'], ['half-staff', 1617234, 'Q1053885'], ['supermajority', 638313, 'Q1362323'], ['General Assembly', 31957, 'Q47423']]"
6290,vclaim-pol-06290,"[['March', 'not available', 'not available'], ['human history', 435268, 'Q200325'], ['carbon dioxide', 5906, 'Q1997'], ['400', 'not available', 'not available'], ['parts per million', 145865, 'Q27084'], ['170', 'not available', 'not available'], ['300', 'not available', 'not available'], ['parts per million', 145865, 'Q27084']]"
6291,vclaim-pol-06291,"[['Texas', 29810, 'Q1439'], ['African Americans', 2154, 'Q49085'], ['Hispanics', 'not available', 'not available']]"
6292,vclaim-pol-06292,[]
6293,vclaim-pol-06293,"[['Greg Abbott', 1492735, 'Q5605224'], ['state guard', 395136, 'Q1107156'], ['Jade Helm', 46576746, 'Q20647515'], ['15', 'not available', 'not available'], ['impose martial law', 28865130, 'Q4114551'], ['Texans', 'not available', 'not available'], ['Walmart', 33589, 'Q483551']]"
6294,vclaim-pol-06294,"[['U.S. Senate', 24909346, 'Q66096'], ['Ron Johnson', 'not available', 'not available']]"
6295,vclaim-pol-06295,"[['40 percent', 'not available', 'not available'], ['people with HIV', 437717, 'Q1084257'], ['AIDS', 5069516, 'Q12199'], ['10', 'not available', 'not available'], ['infected with HIV', 13153449, 'Q2406363']]"
6296,vclaim-pol-06296,"[['history of this country', 39582, 'Q174825'], ['white person', 2258135, 'Q5775114']]"
6297,vclaim-pol-06297,"[['30', 'not available', 'not available']]"
6298,vclaim-pol-06298,[]
6299,vclaim-pol-06299,"[['America', 'not available', 'not available'], ['1920s', 'not available', 'not available']]"
6300,vclaim-pol-06300,"[['2001 and 2003', 'not available', 'not available'], ['Bush', 'not available', 'not available']]"
6301,vclaim-pol-06301,[]
6302,vclaim-pol-06302,"[['Chevrolet', 39848, 'Q29570'], ['Japan', 15573, 'Q17']]"
6303,vclaim-pol-06303,"[['same-sex marriage', 92656, 'Q17422']]"
6304,vclaim-pol-06304,"[['United States', 3434750, 'Q30'], ['20th', 'not available', 'not available'], ['50 percent', 'not available', 'not available']]"
6305,vclaim-pol-06305,"[['unemployment', 31741, 'Q41171'], ['18', 'not available', 'not available'], ['20 percent', 'not available', 'not available'], ['5.6', 'not available', 'not available']]"
6306,vclaim-pol-06306,"[['gross domestic product', 12594, 'Q12638']]"
6307,vclaim-pol-06307,"[['Islamic State', 9087364, 'Q2429253'], ['Syria', 7515849, 'Q858']]"
6308,vclaim-pol-06308,"[['Hillary Clinton', 5043192, 'Q6294']]"
6309,vclaim-pol-06309,"[['17', 'not available', 'not available'], ['Social Security', 48728, 'Q13479957'], ['health care', 261925, 'Q31207'], ['tax revenue', 1813287, 'Q385503']]"
6310,vclaim-pol-06310,"[['Bill Clinton', 3356, 'Q1124'], ['1996', 'not available', 'not available'], ['Iraq', 7515928, 'Q796'], ['WMDs', 53136, 'Q49394'], ['regime change', 154074, 'Q1673271'], ['George W. Bush', 3414021, 'Q207']]"
6311,vclaim-pol-06311,"[['Scott Walker', 1339436, 'Q553254'], ['state government', 15775275, 'Q7603694'], ['climate change', 47512, 'Q125928']]"
6312,vclaim-pol-06312,[]
6313,vclaim-pol-06313,"[['black male', 4745, 'Q817393']]"
6314,vclaim-pol-06314,"[['Twenty-five', 362204, 'Q79986'], ['email', 9738, 'Q9158'], ['collection of data', 11501746, 'Q4929239'], ['Patriot Act', 32191, 'Q221689']]"
6315,vclaim-pol-06315,"[['Ninety-seven', 407348, 'Q673849'], ['Americans', 'not available', 'not available'], ['subsidies', 146719, 'Q193219'], ['health care', 261925, 'Q31207'], ['Affordable Care Act', 25226624, 'Q1414593']]"
6316,vclaim-pol-06316,"[['Millennials', 149183, 'Q277633'], ['75 percent', 'not available', 'not available'], ['10', 'not available', 'not available']]"
6317,vclaim-pol-06317,[]
6318,vclaim-pol-06318,"[['Hillary Clinton', 5043192, 'Q6294']]"
6319,vclaim-pol-06319,"[['enforcement cameras', 143861, 'Q33709'], ['private corporations', 7485, 'Q167037']]"
6320,vclaim-pol-06320,"[['Florida', 18933066, 'Q812'], ['pretrial release', 170652, 'Q162351']]"
6321,vclaim-pol-06321,"[['10', 'not available', 'not available'], ['collective bargaining law', 12728750, 'Q163887'], ['Wisconsin', 33127, 'Q1537'], ['second-best', 1488111, 'Q524879']]"
6322,vclaim-pol-06322,"[['TV industry', 29831, 'Q289'], ['24,000', 'not available', 'not available'], ['$1.68 billion', 'not available', 'not available'], ['Georgia', 48830, 'Q1428']]"
6323,vclaim-pol-06323,"[['Muslim countries', 191429, 'Q779924'], ['Sharia', 28840, 'Q482752'], ['death penalty', 5902, 'Q8454'], ['blaspheming', 8922235, 'Q6081767'], ['Mohammad', 18934, 'Q9458']]"
6324,vclaim-pol-06324,"[['Florida', 18933066, 'Q812'], ['$19 billion', 'not available', 'not available']]"
6325,vclaim-pol-06325,"[['Republican budget proposal', 31451681, 'Q7756335'], ['Wisconsin', 33127, 'Q1537']]"
6326,vclaim-pol-06326,"[['The New York Times', 30680, 'Q9684'], ['Hillary Clinton', 5043192, 'Q6294'], ['email', 9738, 'Q9158']]"
6327,vclaim-pol-06327,"[['U.S', 3434750, 'Q30'], ['America’s', 3434750, 'Q30'], ['June 4th', 44534, 'Q99717'], ['Muslims', 'not available', 'not available']]"
6328,vclaim-pol-06328,"[['Republicans', 32070, 'Q29468'], ['2010', 'not available', 'not available'], ['Wisconsin', 33127, 'Q1537'], ['86 percent', 'not available', 'not available'], ['88 percent', 'not available', 'not available'], ['60 percent', 'not available', 'not available'], ['65 percent', 'not available', 'not available'], ['Latino', 273285, 'Q2035701'], ['65 percent', 'not available', 'not available'], ['71 percent', 'not available', 'not available']]"
6329,vclaim-pol-06329,"[['Georgia', 48830, 'Q1428'], ['insurance claims', 669856, 'Q977871'], ['lightning strikes', 61344, 'Q33741']]"
6330,vclaim-pol-06330,"[['Scott Walker', 1339436, 'Q553254'], ['early voting', 1236844, 'Q708369']]"
6331,vclaim-pol-06331,[]
6332,vclaim-pol-06332,"[['Gov.', 56231, 'Q132050'], ['Rick Perry', 545253, 'Q215057'], ['signed a law', 377411, 'Q686822'], ['federal court', 1636627, 'Q194907'], ['minority voters', 437868, 'Q30103']]"
6333,vclaim-pol-06333,"[['New Jersey', 21648, 'Q1408'], ['Gov.', 253083, 'Q16202700'], ['Christie', 'not available', 'not available'], ['early voting', 1236844, 'Q708369']]"
6334,vclaim-pol-06334,[]
6335,vclaim-pol-06335,"[['500 percent', 'not available', 'not available']]"
6336,vclaim-pol-06336,"[['13,000, 11 percent', 'not available', 'not available']]"
6337,vclaim-pol-06337,[]
6338,vclaim-pol-06338,"[['Common Core', 27684253, 'Q5153317']]"
6339,vclaim-pol-06339,[]
6340,vclaim-pol-06340,"[['Texas', 29810, 'Q1439'], ['1.5 million', 'not available', 'not available'], ['Texas', 29810, 'Q1439'], ['America', 'not available', 'not available'], ['400,000', 'not available', 'not available']]"
6341,vclaim-pol-06341,[]
6342,vclaim-pol-06342,"[['dime', 374688, 'Q756431']]"
6343,vclaim-pol-06343,"[['Fox News', 11121, 'Q186068'], ['Duggar', 19767582, 'Q3065120'], ['family', 56276, 'Q35409'], ['Megyn Kelly', 19593916, 'Q293260']]"
6344,vclaim-pol-06344,[]
6345,vclaim-pol-06345,"[['North America', 21139, 'Q49'], ['United States and Mexico', 11206137, 'Q6826311'], ['Russia', 25391, 'Q159'], ['Saudi Arabia', 349303, 'Q851']]"
6346,vclaim-pol-06346,[]
6347,vclaim-pol-06347,"[['2010', 'not available', 'not available'], ['Georgia', 48830, 'Q1428'], ['heatstroke', 24999087, 'Q337554']]"
6348,vclaim-pol-06348,"[['prevailing wage', 13834324, 'Q7242338'], ['Wisconsin', 33127, 'Q1537'], ['loophole', 13621896, 'Q2995606'], ['state budget', 377116, 'Q41263']]"
6349,vclaim-pol-06349,"[['Estonia', 28222445, 'Q191']]"
6350,vclaim-pol-06350,[]
6351,vclaim-pol-06351,"[['Caitlyn Jenner', 773158, 'Q365144'], ['ESPN', 77795, 'Q217776'], ['Arthur Ashe Courage Award', 10957969, 'Q2493731'], ['Army veteran', 327806, 'Q193891'], ['Noah Galloway', 45700998, 'Q19666198'], ['roadside bomb', 265112, 'Q1249453'], ['Iraq', 7515928, 'Q796']]"
6352,vclaim-pol-06352,"[['Sixty million', 'not available', 'not available'], ['Americans', 'not available', 'not available'], ['depend', 47827622, 'Q5260607'], ['Social Security', 48728, 'Q13479957'], ['one-third', 1704824, 'Q66055'], ['America', 'not available', 'not available'], ['depend', 47827622, 'Q5260607'], ['Social Security', 48728, 'Q13479957'], ['90 percent', 'not available', 'not available']]"
6353,vclaim-pol-06353,"[['foreign nations', 40955929, 'Q1455173'], ['U.S.', 3434750, 'Q30'], ['Obama', 534366, 'Q76']]"
6354,vclaim-pol-06354,[]
