,input_claim_ids,named_entities
230,20160926_1pres_0493,"[['American', 'not available', 'not available'], ['federal taxes', 3136256, 'Q1308197'], ['casino license', 3757192, 'Q5520196'], ['federal income tax', 3136256, 'Q1308197']]"
231,20160926_1pres_0575,[]
232,20160926_1pres_0579,"[['national debt of the United States', 322221, 'Q1138777']]"
233,20160926_1pres_0629,"[['epidemic', 66981, 'Q44512'], ['African American', 2154, 'Q49085']]"
234,20160926_1pres_0645,"[['Chicago', 6886, 'Q1297'], ['January 1st', 'not available', 'not available']]"
235,20160926_1pres_0711,"[['AfricanAmerican', 'not available', 'not available']]"
236,20160926_1pres_0748,"[['superpredator', 1872736, 'Q19067']]"
237,20160926_1pres_0819,[]
238,20160926_1pres_0868,"[['Donald', 'not available', 'not available'], ['1973', 'not available', 'not available'], ['Justice Department', 52563, 'Q1553390'], ['racial discrimination', 25613, 'Q8461'], ['AfricanAmericans', 'not available', 'not available']]"
239,20160926_1pres_0927,"[['Donald', 'not available', 'not available'], ['Putin', 32817, 'Q7747'], ['Americans', 'not available', 'not available']]"
240,20160926_1pres_1010,"[['Libya', 17633, 'Q1016'], ['Gadhafi', 53029, 'Q19878']]"
241,20160926_1pres_1010,"[['Libya', 17633, 'Q1016'], ['Gadhafi', 53029, 'Q19878']]"
242,20160926_1pres_1057,[]
243,20160926_1pres_1059,"[['NATO', 21133, 'Q7184']]"
244,20160926_1pres_1079,"[['war in Iraq', 5043324, 'Q545449']]"
245,20160926_1pres_1148,"[['John Kerry', 5122699, 'Q22316'], ['President Obama', 534366, 'Q76'], [""Iran's nuclear program"", 721807, 'Q329891']]"
246,20160926_1pres_1182,[]
247,20160926_1pres_1182,[]
248,20160926_1pres_1214,"[['China', 5405, 'Q148'], ['North Korea', 21255, 'Q423']]"
249,20160926_1pres_1215,"[['Iran deal', 42015113, 'Q17001802']]"
250,20160926_1pres_1222,"[['$400 million', 'not available', 'not available']]"
251,20160926_1pres_1225,"[['$1.7 billion', 'not available', 'not available']]"
252,20160926_1pres_1326,"[['pregnancy', 1771587, 'Q11995']]"
253,20160926_1pres_1326,"[['pregnancy', 1771587, 'Q11995']]"
254,20161005_vice_pres_0075,"[['Mexicans', 'not available', 'not available'], ['rapists', 7980471, 'Q47092'], ['President Obama', 534366, 'Q76'], ['wasn', 18468646, 'Q7946755'], ['United States', 3434750, 'Q30']]"
255,20161005_vice_pres_0050,"[['war on coal', 49021455, 'Q25028472'], ['health care reform', 25226624, 'Q1414593'], ['Obamacare', 25226624, 'Q1414593'], ['American', 'not available', 'not available']]"
256,20161005_vice_pres_0097,"[['Vladimir Putin', 32817, 'Q7747'], ['great leader', 225153, 'Q181800']]"
257,20161005_vice_pres_0153,"[['Iraq', 7515928, 'Q796'], ['ISIS', 9087364, 'Q2429253'], ['Hillary Clinton', 5043192, 'Q6294']]"
258,20161005_vice_pres_0117,"[['Clinton Foundation', 6115598, 'Q1974620']]"
259,20161005_vice_pres_0179,"[['past administration', 14458938, 'Q7241106'], ['Hillary Clinton', 5043192, 'Q6294'], ['national debt', 322221, 'Q1138777']]"
260,20161005_vice_pres_0184,"[['$4 billion', 'not available', 'not available']]"
261,20161005_vice_pres_0192,[]
262,20161005_vice_pres_0215,"[['Donald Trump', 4848272, 'Q22686']]"
263,20161005_vice_pres_0216,"[['Donald Trump', 4848272, 'Q22686'], ['Mike Pence', 391324, 'Q24313'], ['federal minimum wage', 11477230, 'Q6865497']]"
264,20161005_vice_pres_0234,"[['Hillary Clinton', 5043192, 'Q6294'], ['Senator', 'not available', 'not available'], ['Kaine', 1480165, 'Q2000166']]"
265,20161005_vice_pres_0236,"[['Fifteen million', 'not available', 'not available']]"
266,20161005_vice_pres_0305,"[['Richard Nixon', 25473, 'Q9588']]"
267,20161005_vice_pres_0326,"[['Donald Trump', 4848272, 'Q22686'], ['Social Security', 48728, 'Q13479957'], ['Ponzi scheme', 47185, 'Q219407'], ['privatization', 24661, 'Q161500']]"
268,20161005_vice_pres_0437,"[['40', 'not available', 'not available'], ['50', 'not available', 'not available'], ['fatal incident', 30873679, 'Q382286']]"
269,20161005_vice_pres_0438,"[['AfricanAmericans', 'not available', 'not available'], ['Latinos', 'not available', 'not available']]"
270,20161005_vice_pres_0497,"[['Hillary Clinton', 5043192, 'Q6294'], ['Tim Kaine', 1461855, 'Q359888'], ['open borders', 17373971, 'Q17163396'], ['catch and release', 490901, 'Q588332'], ['sanctuary cities', 10511069, 'Q3559093']]"
271,20161005_vice_pres_0497,"[['Hillary Clinton', 5043192, 'Q6294'], ['Tim Kaine', 1461855, 'Q359888'], ['open borders', 17373971, 'Q17163396'], ['catch and release', 490901, 'Q588332'], ['sanctuary cities', 10511069, 'Q3559093']]"
272,20161005_vice_pres_0497,"[['Hillary Clinton', 5043192, 'Q6294'], ['Tim Kaine', 1461855, 'Q359888'], ['open borders', 17373971, 'Q17163396'], ['catch and release', 490901, 'Q588332'], ['sanctuary cities', 10511069, 'Q3559093']]"
273,20161005_vice_pres_0639,[]
274,20161005_vice_pres_0639,[]
275,20161005_vice_pres_0640,"[['John McCain', 43715, 'Q10390']]"
276,20161005_vice_pres_0640,"[['John McCain', 43715, 'Q10390']]"
277,20161005_vice_pres_0965,"[['nuclear weapons', 21785, 'Q12802']]"
278,20161005_vice_pres_0968,"[['Senator', 'not available', 'not available']]"
279,20161005_vice_pres_0682,"[['nuclear weapons program', 872930, 'Q1992486']]"
280,20161005_vice_pres_0694,"[['Hillary Clinton', 5043192, 'Q6294'], ['Tim Kaine', 1461855, 'Q359888'], ['Syrian refugee', 32465077, 'Q559076'], ['500', 'not available', 'not available']]"
281,20161005_vice_pres_0737,"[['Elaine', 'not available', 'not available'], ['director of the FBI', 5861065, 'Q1057168'], ['homeland security', 42105, 'Q181467'], ['Syria', 7515849, 'Q858']]"
282,20161005_vice_pres_1039,"[['$400 million', 'not available', 'not available'], ['ransom payment', 49279763, 'Q1641906'], ['Americans', 'not available', 'not available'], ['mullahs', 330652, 'Q188942'], ['Tehran', 57654, 'Q3616']]"
283,20161005_vice_pres_1134,"[['AIDS drugs', 203312, 'Q1142055'], ['11.5 million', 'not available', 'not available']]"
284,20161005_vice_pres_1163,"[['10 cents', 'not available', 'not available'], ['Clinton Foundation', 6115598, 'Q1974620']]"
285,20161005_vice_pres_1163,"[['10 cents', 'not available', 'not available'], ['Clinton Foundation', 6115598, 'Q1974620']]"
286,20161005_vice_pres_1163,"[['10 cents', 'not available', 'not available'], ['Clinton Foundation', 6115598, 'Q1974620']]"
287,20161005_vice_pres_1163,"[['10 cents', 'not available', 'not available'], ['Clinton Foundation', 6115598, 'Q1974620']]"
288,20161005_vice_pres_1162,"[['$20,000', 'not available', 'not available'], ['Donald Trump', 4848272, 'Q22686']]"
289,20161005_vice_pres_1259,"[['ClintonKaine', 'not available', 'not available']]"
290,20161005_vice_pres_1325,"[['aisle', 297058, 'Q939723'], ['8 million', 'not available', 'not available'], ['health insurance', 490201, 'Q334911'], ['150,000', 'not available', 'not available'], ['Indiana', 21883857, 'Q1415']]"
291,20161010_2pres_0035,"[['Obamacare', 25226624, 'Q1414593'], ['health insurance', 490201, 'Q334911'], ['health care', 261925, 'Q31207'], ['68 percent, 59 percent, 71 percent', 'not available', 'not available'], ['Iran deal', 42015113, 'Q17001802'], ['$150 billion', 'not available', 'not available'], ['terrorist state', 29660, 'Q623179']]"
292,20161010_2pres_0037,"[['$800 billion', 'not available', 'not available'], ['trade deficit', 4810, 'Q192796']]"
293,20161010_2pres_0039,"[['$800 billion', 'not available', 'not available']]"
294,20161010_2pres_0112,[]
295,20161010_2pres_0117,"[['African Americans', 2154, 'Q49085'], ['Latinos', 'not available', 'not available'], ['POWs', 25008, 'Q179637'], ['Muslims', 'not available', 'not available']]"
296,20161010_2pres_0117,"[['African Americans', 2154, 'Q49085'], ['Latinos', 'not available', 'not available'], ['POWs', 25008, 'Q179637'], ['Muslims', 'not available', 'not available']]"
297,20161010_2pres_0117,"[['African Americans', 2154, 'Q49085'], ['Latinos', 'not available', 'not available'], ['POWs', 25008, 'Q179637'], ['Muslims', 'not available', 'not available']]"
298,20161010_2pres_0117,"[['African Americans', 2154, 'Q49085'], ['Latinos', 'not available', 'not available'], ['POWs', 25008, 'Q179637'], ['Muslims', 'not available', 'not available']]"
299,20161010_2pres_0130,"[['Senate', 'not available', 'not available'], ['New York', 8210131, 'Q1384'], ['Hillary', 5043192, 'Q6294'], ['upstate New York', 447990, 'Q2018923']]"
300,20161010_2pres_0165,[]
301,20161010_2pres_0190,"[['Sidney Blumenthal', 1769759, 'Q3483318'], ['campaign manager', 994226, 'Q5027838']]"
302,20161010_2pres_0208,"[['subpoena', 223929, 'Q5608642'], ['subpoena', 223929, 'Q5608642'], ['subpoena', 223929, 'Q5608642'], ['33,000', 'not available', 'not available'], ['acid wash', 11365247, 'Q7619091'], ['bleach', 12873937, 'Q11587']]"
303,20161010_2pres_0346,"[['90 percent', 'not available', 'not available'], ['health insurance coverage', 10916458, 'Q5691354']]"
304,20161010_2pres_0347,[]
305,20161010_2pres_0370,"[['Canada', 5042916, 'Q16']]"
306,20161010_2pres_0437,"[['Muslims', 'not available', 'not available']]"
307,20161010_2pres_0439,"[['San Bernardino', 108016, 'Q486168'], ['14', 'not available', 'not available']]"
308,20161010_2pres_0500,"[['Hillary Clinton', 5043192, 'Q6294'], ['550 percent', 'not available', 'not available'], ['Obama', 'not available', 'not available']]"
309,20161010_2pres_0501,"[['550 percent', 'not available', 'not available']]"
310,20161010_2pres_0525,"[['propaganda', 23203, 'Q7281'], ['Donald Trump', 4848272, 'Q22686'], ['Muslims', 'not available', 'not available']]"
311,20161010_2pres_0534,"[['war in Iraq', 5043324, 'Q545449']]"
312,20161010_2pres_0554,[]
313,20161010_2pres_0605,"[['Putin', 32817, 'Q7747']]"
314,20161010_2pres_0607,"[['Putin', 32817, 'Q7747']]"
315,20161010_2pres_0675,[]
316,20161010_2pres_0772,"[['Eight million', 'not available', 'not available'], ['health insurance', 490201, 'Q334911'], ['Democrats', 'not available', 'not available'], ['Republicans', 32070, 'Q29468'], [""Children's Health Insurance Program"", 635422, 'Q7603105']]"
317,20161010_2pres_0776,"[[""women's rights"", 145439, 'Q223569'], ['negotiated a treaty', 1803515, 'Q7837060'], ['Russia', 25391, 'Q159'], ['nuclear weapons', 21785, 'Q12802']]"
318,20161010_2pres_0834,[]
319,20161010_2pres_0838,[]
320,20161010_2pres_0839,[]
321,20161010_2pres_0840,[]
322,20161010_2pres_0821,"[['socalled', 9288384, 'Q375796'], ['line in the sand', 16091876, 'Q6553263']]"
323,20161010_2pres_0851,"[['ISIS', 9087364, 'Q2429253']]"
324,20161010_2pres_0858,"[['Russia', 25391, 'Q159'], ['Assad', 364813, 'Q44329'], ['Iran', 14653, 'Q794'], ['Iran deal', 42015113, 'Q17001802'], ['$150 billion', 'not available', 'not available'], ['$1.7 billion', 'not available', 'not available']]"
325,20161010_2pres_0981,"[['TPP', 'not available', 'not available']]"
326,20161010_2pres_0982,"[['gold standard', 37412, 'Q173509']]"
327,20161010_2pres_1035,[]
328,20161010_2pres_1036,"[['Bullying', 432459, 'Q240126']]"
329,20161010_2pres_1069,"[['45', 'not available', 'not available']]"
330,20161010_2pres_1081,"[['wasn', 18468646, 'Q7946755'], ['sex tape', 19541404, 'Q2013521']]"
331,20161010_2pres_1168,"[['Second Amendment', 31655, 'Q210645'], ['Hillary Clinton', 5043192, 'Q6294']]"
332,20161019_3pres_0029,[]
333,20161019_3pres_0029,[]
334,20161019_3pres_0030,"[['marriage equality', 92656, 'Q17422'], ['Roe v. Wade', 68493, 'Q300950'], ['Citizens United', 22097436, 'Q1092602'], ['Supreme Court', 4913027, 'Q190752']]"
335,20161019_3pres_0048,"[['Second Amendment', 31655, 'Q210645']]"
336,20161019_3pres_0078,"[['Chris', 'not available', 'not available'], ['Second Amendment', 31655, 'Q210645'], ['District of Columbia', 108956, 'Q61']]"
337,20161019_3pres_0074,"[['33,000', 'not available', 'not available']]"
338,20161019_3pres_0139,[]
339,20161019_3pres_0189,"[['Hillary', 5043192, 'Q6294']]"
340,20161019_3pres_0190,"[['open borders', 17373971, 'Q17163396']]"
341,20161019_3pres_0200,"[['heroin', 14034, 'Q60168'], ['southern border', 2817606, 'Q1057263']]"
342,20161019_3pres_0201,[]
343,20161019_3pres_0228,"[['Phoenix', 'not available', 'not available']]"
344,20161019_3pres_0255,"[['Hillary Clinton', 5043192, 'Q6294']]"
345,20161019_3pres_0256,"[['Hillary Clinton', 5043192, 'Q6294'], ['2006', 36164, 'Q2021']]"
346,20161019_3pres_0273,"[['Trump Tower', 1295216, 'Q868772']]"
347,20161019_3pres_0339,"[['550 percent', 'not available', 'not available'], ['Barack Obama', 534366, 'Q76']]"
348,20161019_3pres_0345,"[['Putin', 32817, 'Q7747']]"
349,20161019_3pres_0363,"[['Russians', 59510, 'Q49542'], ['cyberattacks', 37925700, 'Q4071928'], ['United States of America', 3434750, 'Q30'], ['espionage', 10501, 'Q165950'], ['Putin', 32817, 'Q7747'], ['NATO', 21133, 'Q7184']]"
350,20161019_3pres_0366,"[['17', 'not available', 'not available'], ['17', 'not available', 'not available'], ['intelligence agencies', 81014, 'Q47913'], ['espionage', 10501, 'Q165950'], ['cyberattacks', 3369375, 'Q849340'], ['Kremlin', 381075, 'Q133274']]"
351,20161019_3pres_0424,"[['Japan', 15573, 'Q17'], ['Korea', 'not available', 'not available'], ['Saudi Arabia', 349303, 'Q851']]"
352,20161019_3pres_0468,"[['World War II', 32927, 'Q362'], ['infrastructure', 174521, 'Q121359'], ['advanced manufacturing', 18159068, 'Q4686346']]"
353,20161019_3pres_0485,"[['cut taxes', 455990, 'Q7689423'], ['tax breaks', 2151903, 'Q7689411'], ['$20 trillion', 'not available', 'not available'], ['economics', 9223, 'Q8134']]"
354,20161019_3pres_0490,[]
355,20161019_3pres_0607,"[['gold standard', 37412, 'Q173509']]"
356,20161019_3pres_0609,"[['gold standard', 37412, 'Q173509']]"
357,20161019_3pres_0655,"[['State Department', 31975, 'Q789915'], ['$6 billion', 'not available', 'not available']]"
358,20161019_3pres_0657,"[['State Department', 31975, 'Q789915'], ['$6 billion', 'not available', 'not available']]"
359,20161019_3pres_0659,"[['$6 billion', 'not available', 'not available']]"
360,20161019_3pres_0667,"[['Justice Department', 52563, 'Q1553390'], ['racial discrimination', 25613, 'Q8461'], ['apartment buildings', 265567, 'Q188507']]"
361,20161019_3pres_0687,"[['ISIS', 9087364, 'Q2429253'], ['Obama', 'not available', 'not available'], ['Iraq', 7515928, 'Q796']]"
362,20161019_3pres_0688,"[['ISIS', 9087364, 'Q2429253']]"
363,20161019_3pres_0695,[]
364,20161019_3pres_0699,[]
365,20161019_3pres_0751,"[['33,000', 'not available', 'not available'], ['subpoena', 223929, 'Q5608642'], ['United States Congress', 31756, 'Q11268']]"
366,20161019_3pres_0765,[]
367,20161019_3pres_0423,[]
368,20161019_3pres_0793,"[['Clinton Foundation', 6115598, 'Q1974620'], ['11 million', 'not available', 'not available']]"
369,20161019_3pres_0815,"[['Saudi Arabia', 349303, 'Q851'], ['$25 million', 'not available', 'not available'], ['Qatar', 8238258, 'Q846']]"
370,20161019_3pres_0815,"[['Saudi Arabia', 349303, 'Q851'], ['$25 million', 'not available', 'not available'], ['Qatar', 8238258, 'Q846']]"
371,20161019_3pres_0818,[]
372,20161019_3pres_0820,[]
373,20161019_3pres_0820,[]
374,20161019_3pres_0832,"[['Trump Foundation', 51561203, 'Q26840614'], ['Donald', 19179331, 'Q6550']]"
375,20161019_3pres_0867,[]
376,20161019_3pres_0877,"[['Buffett', 211518, 'Q47213'], ['millions of dollars', 4365327, 'Q7368619'], ['Soros', 6951166, 'Q12908'], ['George Soros', 6951166, 'Q12908'], ['millions of dollars', 4365327, 'Q7368619']]"
377,20161019_3pres_0918,"[['Chris', 'not available', 'not available'], ['voter rolls', 1516039, 'Q702448'], ['millions of people', 10396793, 'Q2763'], ['registered to vote', 994892, 'Q1980404'], ['millions of people', 10396793, 'Q2763'], ['registered to vote', 994892, 'Q1980404'], ['registered to vote', 994892, 'Q1980404']]"
378,20161019_3pres_0942,"[['Emmy', 151921, 'Q123737'], ['TV program', 19508643, 'Q15416'], ['tweeting', 9988187, 'Q918'], ['Emmys', 151921, 'Q123737']]"
379,20161019_3pres_1036,"[['Donald', 'not available', 'not available'], ['invasion of Iraq', 201936, 'Q107802']]"
380,20161019_3pres_1037,[]
381,20161019_3pres_1038,[]
382,20161019_3pres_1039,[]
383,20161019_3pres_1133,"[['$150 billion', 'not available', 'not available']]"
384,20161019_3pres_1277,"[['60 percent, 70 percent, 80 percent', 'not available', 'not available']]"
385,20161019_3pres_1329,"[['illegal immigrants', 7124412, 'Q856681']]"
386,20170111_Trump_press_conference_0041,"[['news conferences', 28730792, 'Q272281']]"
387,20170111_Trump_press_conference_0172,"[['Republican National Committee', 326350, 'Q2145369']]"
388,20170111_Trump_press_conference_0203,"[['ISIS', 9087364, 'Q2429253']]"
389,20170111_Trump_press_conference_0259,"[['months ago', 1160837, 'Q3488489']]"
390,20170111_Trump_press_conference_0266,[]
391,20170111_Trump_press_conference_0270,"[['Trump organization', 2565136, 'Q2462124'], ['great company', 19433970, 'Q1543015']]"
392,20170111_Trump_press_conference_0287,[]
393,20170111_Trump_press_conference_0277,"[['70', 'not available', 'not available'], ['IRS', 23430752, 'Q973587']]"
394,20170111_Trump_press_conference_0278,[]
395,20170111_Trump_press_conference_0387,"[['hotel room', 14276, 'Q27686']]"
396,20170111_Trump_press_conference_0388,"[['emolument', 1650660, 'Q1742093']]"
397,20170111_Trump_press_conference_0450,"[['a hundred percent', 'not available', 'not available'], ['17', 'not available', 'not available'], ['17', 'not available', 'not available']]"
398,20170111_Trump_press_conference_0483,"[['United Technologies', 648947, 'Q1045758']]"
399,20170111_Trump_press_conference_0498,"[['United States', 3434750, 'Q30'], ['96 million', 'not available', 'not available']]"
400,20170111_Trump_press_conference_0498,"[['United States', 3434750, 'Q30'], ['96 million', 'not available', 'not available']]"
401,20170120_Trump_inauguration_0027,[]
402,20170120_Trump_inauguration_0032,[]
403,20170120_Trump_inauguration_0032,[]
404,20170120_Trump_inauguration_0032,[]
405,20170120_Trump_inauguration_0033,[]
406,20170120_Trump_inauguration_0033,[]
407,20170120_Trump_inauguration_0033,[]
408,20170120_Trump_inauguration_0033,[]
409,20170120_Trump_inauguration_0040,[]
410,20170120_Trump_inauguration_0041,"[['America', 'not available', 'not available'], ['infrastructure', 174521, 'Q121359']]"
411,20170120_Trump_inauguration_0039,"[['American industry', 30557091, 'Q6753122']]"
412,20170120_Trump_inauguration_0039,"[['American industry', 30557091, 'Q6753122']]"
413,20170120_Trump_inauguration_0042,"[['Weve', 'not available', 'not available']]"
414,20170120_Trump_inauguration_0061,"[['American', 'not available', 'not available'], ['nations of the world', 182178, 'Q252837']]"
415,20170120_Trump_inauguration_0061,"[['American', 'not available', 'not available'], ['nations of the world', 182178, 'Q252837']]"
416,20170120_Trump_inauguration_0061,"[['American', 'not available', 'not available'], ['nations of the world', 182178, 'Q252837']]"
417,20170120_Trump_inauguration_0061,"[['American', 'not available', 'not available'], ['nations of the world', 182178, 'Q252837']]"
418,20170126_Trump_ABC_0107,[]
419,20170126_Trump_ABC_0107,[]
420,20170126_Trump_ABC_0107,[]
421,20170126_Trump_ABC_0107,[]
422,20170126_Trump_ABC_0107,[]
423,20170126_Trump_ABC_0107,[]
424,20170126_Trump_ABC_0107,[]
425,20170126_Trump_ABC_0107,[]
426,20170126_Trump_ABC_0110,[]
427,20170126_Trump_ABC_0110,[]
428,20170126_Trump_ABC_0110,[]
429,20170126_Trump_ABC_0110,[]
430,20170126_Trump_ABC_0110,[]
431,20170126_Trump_ABC_0110,[]
432,20170126_Trump_ABC_0110,[]
433,20170126_Trump_ABC_0110,[]
434,20170126_Trump_ABC_0103,"[['voter registration', 994892, 'Q1980404'], ['registered to vote', 994892, 'Q1980404']]"
435,20170126_Trump_ABC_0103,"[['voter registration', 994892, 'Q1980404'], ['registered to vote', 994892, 'Q1980404']]"
436,20170126_Trump_ABC_0103,"[['voter registration', 994892, 'Q1980404'], ['registered to vote', 994892, 'Q1980404']]"
437,20170126_Trump_ABC_0103,"[['voter registration', 994892, 'Q1980404'], ['registered to vote', 994892, 'Q1980404']]"
438,20170126_Trump_ABC_0103,"[['voter registration', 994892, 'Q1980404'], ['registered to vote', 994892, 'Q1980404']]"
439,20170126_Trump_ABC_0103,"[['voter registration', 994892, 'Q1980404'], ['registered to vote', 994892, 'Q1980404']]"
440,20170126_Trump_ABC_0103,"[['voter registration', 994892, 'Q1980404'], ['registered to vote', 994892, 'Q1980404']]"
441,20170126_Trump_ABC_0103,"[['voter registration', 994892, 'Q1980404'], ['registered to vote', 994892, 'Q1980404']]"
442,20170126_Trump_ABC_0121,"[['democracy', 7959, 'Q7174'], ['free election', 1258004, 'Q1156016']]"
443,20170126_Trump_ABC_0133,"[['voter fraud', 382165, 'Q692209']]"
444,20170126_Trump_ABC_0178,[]
445,20170126_Trump_ABC_0180,[]
446,20170126_Trump_ABC_0679,[]
447,20170126_Trump_ABC_0680,[]
448,20170126_Trump_ABC_0319,[]
449,20170126_Trump_ABC_0420,[]
450,20170205_Trump_Oreilly_0141,"[['war in Iraq', 5043324, 'Q545449']]"
451,20170205_Trump_Oreilly_0216,"[['sanctuary cities', 10511069, 'Q3559093']]"
452,20170205_Trump_Oreilly_0216,"[['sanctuary cities', 10511069, 'Q3559093']]"
453,20170205_Trump_Oreilly_0354,"[['three million', 'not available', 'not available'], ['illegal aliens', 1703155, 'Q473741']]"
454,20170205_Trump_Oreilly_0360,"[['dead people', 8221, 'Q4'], ['dead people', 8221, 'Q4']]"
455,20170205_Trump_Oreilly_0360,"[['dead people', 8221, 'Q4'], ['dead people', 8221, 'Q4']]"
456,20170205_Trump_Oreilly_0360,"[['dead people', 8221, 'Q4'], ['dead people', 8221, 'Q4']]"
457,20170205_Trump_Oreilly_0186,"[['ObamaCare', 25226624, 'Q1414593']]"
458,20170205_Trump_Oreilly_0186,"[['ObamaCare', 25226624, 'Q1414593']]"
459,20170205_Trump_Oreilly_0185,"[['ObamaCare', 25226624, 'Q1414593']]"
460,20170205_Trump_Oreilly_0185,"[['ObamaCare', 25226624, 'Q1414593']]"
461,20170205_Trump_Oreilly_0038,"[['$1.7 billion', 'not available', 'not available']]"
462,20170205_Trump_Oreilly_0038,"[['$1.7 billion', 'not available', 'not available']]"
463,20170207_Sanders_Cruz_healthcare_debate_0032,"[['preexisting condition', 24355242, 'Q7239228'], ['insurance companies', 15176, 'Q43183']]"
464,20170207_Sanders_Cruz_healthcare_debate_0041,"[['United States', 3434750, 'Q30'], ['Earth', 9228, 'Q2']]"
465,20170207_Sanders_Cruz_healthcare_debate_0624,"[['health care', 261925, 'Q31207'], ['Earth', 9228, 'Q2'], ['Obamacare', 25226624, 'Q1414593'], ['six million', 'not available', 'not available'], ['health insurance', 490201, 'Q334911'], ['LaRonda', 'not available', 'not available'], ['health insurance', 490201, 'Q334911']]"
466,20170207_Sanders_Cruz_healthcare_debate_0265,"[['Obamacare', 25226624, 'Q1414593'], ['Medicaid', 55794, 'Q1141363']]"
467,20170207_Sanders_Cruz_healthcare_debate_0314,"[['America', 'not available', 'not available'], ['Obamacare', 25226624, 'Q1414593']]"
468,20170207_Sanders_Cruz_healthcare_debate_0360,"[['70 percent', 'not available', 'not available'], ['America', 'not available', 'not available'], ['Obamacare', 25226624, 'Q1414593'], ['health insurance plans', 490201, 'Q334911'], ['70 percent', 'not available', 'not available'], ['America', 'not available', 'not available']]"
469,20170207_Sanders_Cruz_healthcare_debate_0521,[]
470,20170207_Sanders_Cruz_healthcare_debate_0521,[]
471,20170207_Sanders_Cruz_healthcare_debate_0521,[]
472,20170207_Sanders_Cruz_healthcare_debate_0484,"[['millions of people', 10396793, 'Q2763'], ['29', 'not available', 'not available'], ['hours a week', 2016347, 'Q30722989'], ['Obamacare', 25226624, 'Q1414593'], ['30', 'not available', 'not available'], ['hours a week', 2016347, 'Q30722989']]"
473,20170207_Sanders_Cruz_healthcare_debate_0687,"[['health outcomes', 80381, 'Q12147'], ['Medicaid', 55794, 'Q1141363']]"
474,20170207_Sanders_Cruz_healthcare_debate_0687,"[['health outcomes', 80381, 'Q12147'], ['Medicaid', 55794, 'Q1141363']]"
475,20170207_Sanders_Cruz_healthcare_debate_0936,"[['Affordable Care Act', 25226624, 'Q1414593'], ['$346 billion', 'not available', 'not available'], ['tax breaks', 2151903, 'Q7689411'], ['2 percent', 'not available', 'not available']]"
476,20170207_Sanders_Cruz_healthcare_debate_0123,"[['Bernie', 'not available', 'not available'], ['helped write', 28398214, 'Q7080787'], ['Obamacare', 25226624, 'Q1414593']]"
477,20170216_Trump_press_conference_0105,"[['306', 'not available', 'not available']]"
478,20170216_Trump_press_conference_0106,"[['electoral college', 79771, 'Q1141323'], ['Ronald Reagan', 25433, 'Q9960']]"
479,20170216_Trump_press_conference_0177,[]
480,20170216_Trump_press_conference_0178,"[['80 percent', 'not available', 'not available'], ['80 percent', 'not available', 'not available']]"
481,20170216_Trump_press_conference_0448,"[['Congress', 'not available', 'not available']]"
482,20170216_Trump_press_conference_0036,"[['stock market', 52328, 'Q475000'], ['hit record', 2402033, 'Q2068728']]"
483,20170216_Trump_press_conference_0037,"[['business world', 22697384, 'Q3477367']]"
484,20170216_Trump_press_conference_0722,"[['Hillary Clinton', 5043192, 'Q6294'], ['Russia', 25391, 'Q159'], ['20 percent', 'not available', 'not available'], ['uranium', 31743, 'Q1098']]"
485,20170216_Trump_press_conference_0277,[]
486,20170216_Trump_press_conference_0471,"[['WikiLeaks', 8877168, 'Q359'], ['classified information', 3539962, 'Q4223055']]"
487,20170216_Trump_press_conference_0543,[]
488,20170216_Trump_press_conference_0469,"[['Russia', 25391, 'Q159']]"
489,20170216_Trump_press_conference_0963,"[['Russia', 25391, 'Q159']]"
490,20170218_Trump_Florida_0156,[]
491,20170218_Trump_Florida_0161,[]
492,20170218_Trump_Florida_0379,[]
493,20170218_Trump_Florida_0331,"[['Obama', 'not available', 'not available']]"
494,20170224_Tump_CPAC_0200,[]
495,20170224_Tump_CPAC_0223,"[['super delegate', 489248, 'Q596690'], ['super delegate', 489248, 'Q596690']]"
496,20170224_Tump_CPAC_0224,[]
497,20170224_Tump_CPAC_0261,"[['Middle East', 19323, 'Q7204'], ['$6 trillion', 'not available', 'not available']]"
498,20170224_Tump_CPAC_0422,[]
499,20170224_Tump_CPAC_0257,[]
500,20170224_Tump_CPAC_0337,"[['gang members', 80408, 'Q275186'], ['drug dealers', 218449, 'Q844924']]"
501,20170228_Trump_Congress_joint_session_0202,"[['Obamacare', 25226624, 'Q1414593']]"
502,20170228_Trump_Congress_joint_session_0320,[]
503,20170228_Trump_Congress_joint_session_0322,"[['national defense', 92357, 'Q8473'], ['American history', 63876, 'Q131110']]"
504,20170228_Trump_Congress_joint_session_0086,"[['gang members', 80408, 'Q275186'], ['drug dealers', 218449, 'Q844924'], ['prey', 57559, 'Q170430']]"
505,20170228_Trump_Congress_joint_session_0088,[]
506,20170228_Trump_Congress_joint_session_0047,"[['millions of dollars', 4365327, 'Q7368619'], ['F35', 11812, 'Q29261'], ['jet fighter', 10929, 'Q127771']]"
507,20170228_Trump_Congress_joint_session_0077,"[['immigration laws', 5044573, 'Q185367']]"
508,20170228_Trump_Congress_joint_session_0079,"[['billions and billions', 4407262, 'Q1152287']]"
509,20170228_Trump_Congress_joint_session_0187,"[['America', 'not available', 'not available'], ['$6 trillion', 'not available', 'not available'], ['Middle East', 19323, 'Q7204'], ['infrastructure', 174521, 'Q121359']]"
